"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/25/2023","AirNow","061072003","1","0.04","ppm","37","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/26/2023","AirNow","061072003","1","0.045","ppm","42","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/27/2023","AirNow","061072003","1","0.046","ppm","43","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/28/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/29/2023","AirNow","061072003","1","0.044","ppm","41","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/30/2023","AirNow","061072003","1","0.038","ppm","35","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"03/31/2023","AirNow","061072003","1","0.046","ppm","43","Visalia-W. Ashland Avenue","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"04/01/2023","AirNow","061072003","1","0.044","ppm","41","Visalia-W. Ashland Avenue","20","83.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.30815","-119.3129"
"01/01/2023","AirNow","061072010","1","0.036","ppm","33","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/02/2023","AirNow","061072010","1","0.036","ppm","33","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
